run number,ridf events,run type,Ion Chamber,PPAC,Plastic,NEULAND,NEULANDVETO,SAMURAIBDC1,SAMURAIBDC2,Custom TOF,DC TPF,Placekeeper
2036,-1,9,,,,,,,,,1931,0
2037,-1,9,,,,,,,,,1931,0
2038,-1,9,,,,,,,,,1931,0
2039,-1,9,,,,,,,,,1931,0
2040,-1,9,,,,,,,,,1931,0
2041,-1,9,,,,,,,,,1931,0
2042,-1,9,,,,,,,,,1931,0
2043,-1,9,,,,,,,,,1931,0
2044,-1,9,,,,,,,,,1931,0
2045,-1,9,,,,,,,,,1931,0
2046,-1,9,,,,,,,,,1931,0
2047,-1,9,,,,,,,,,1931,0
2048,-1,9,,,,,,,,,1931,0
2049,-1,9,,,,,,,,,1931,0
2050,-1,9,,,,,,,,,1931,0
2051,-1,9,,,,,,,,,1931,0
2052,-1,9,,,,,,,,,1931,0
2053,-1,9,,,,,,,,,1931,0
2054,-1,9,,,,,,,,,1931,0
2055,-1,9,,,,,,,,,1931,0
2056,-1,9,,,,,,,,,1931,0
2057,-1,9,,,,,,,,,1931,0
2058,-1,9,,,,,,,,,1931,0
2059,-1,9,,,,,,,,,1931,0
2060,-1,9,,,,,,,,,1931,0
2061,-1,9,,,,,,,,,1931,0
2062,-1,,,,,,,,,,1931,0
2063,-1,9,,,,,,,,,1931,0
2064,-1,9,,,,,,,,,1931,0
2065,-1,9,,,,,,,,,1931,0
2066,-1,9,,,,,,,,,1931,0
2067,-1,9,,,,,,,,,1931,0
2068,-1,9,,,,,,,,,1931,0
2069,-1,9,,,,,,,,,1931,0
2070,-1,,,,,,,,,,1931,0
2071,-1,9,,,,,,,,,1931,0
2072,-1,9,,,,,,,,,1931,0
2073,-1,9,,,,,,,,,1931,0
2074,-1,9,,,,,,,,,1931,0
2075,-1,9,,,,,,,,,1931,0
2076,-1,9,,,,,,,,,1931,0
2077,-1,9,,,,,,,,,1931,0
2078,-1,9,,,,,,,,,1931,0
2079,-1,9,,,,,,,,,1931,0
2080,-1,9,,,,,,,,,1931,0
2081,-1,9,,,,,,,,,1931,0
2082,-1,9,,,,,,,,,1931,0
2083,-1,9,,,,,,,,,1931,0
2084,-1,9,,,,,,,,,1931,0
2085,-1,9,,,,,,,,,1931,0
2086,-1,9,,,,,,,,,1931,0
2087,-1,9,,,,,,,,,1931,0
2088,-1,9,,,,,,,,,1931,0
2089,-1,9,,,,,,,,,1931,0
2090,-1,9,,,,,,,,,1931,0
2091,-1,,,,,,,,,,1931,0
2092,-1,9,,,,,,,,,1931,0
2093,-1,9,,,,,,,,,1931,0
2094,-1,9,,,,,,,,,1931,0
2095,-1,,,,,,,,,,1931,0
2096,-1,9,,,,,,,,,1931,0
2097,-1,9,,,,,,,,,1931,0
2098,-1,,,,,,,,,,1931,0
2099,-1,9,,,,,,,,,1931,0
2100,-1,9,,,,,,,,,1931,0
2101,-1,9,,,,,,,,,1931,0
2102,-1,9,,,,,,,,,1931,0
2103,-1,9,,,,,,,,,1931,0
2104,-1,9,,,,,,,,,1931,0
2105,-1,9,,,,,,,,,1931,0
2106,-1,9,,,,,,,,,1931,0
2107,-1,9,,,,,,,,,1931,0
2108,-1,9,,,,,,,,,1931,0
2109,-1,9,,,,,,,,,1931,0
2110,-1,9,,,,,,,,,1931,0
2111,-1,9,,,,,,,,,1931,0
2112,-1,9,,,,,,,,,1931,0
2113,-1,9,,,,,,,,,1931,0
2114,-1,9,,,,,,,,,1931,0
2115,-1,9,,,,,,,,,1931,0
2116,-1,9,,,,,,,,,1931,0
2117,-1,9,,,,,,,,,1931,0
2118,-1,9,,,,,,,,,1931,0
2119,-1,9,,,,,,,,,1931,0
2120,-1,9,,,,,,,,,1931,0
2121,-1,9,,,,,,,,,1931,0
2122,-1,9,,,,,,,,,1931,0
2123,-1,9,,,,,,,,,1931,0
2124,-1,9,,,,,,,,,1931,0
2125,-1,9,,,,,,,,,1931,0
2126,-1,9,,,,,,,,,1931,0
2127,-1,,,,,,,,,,1931,0
2128,-1,,,,,,,,,,1931,0
2129,-1,,,,,,,,,,1931,0
2130,-1,9,,,,,,,,,1931,0
2131,-1,9,,,,,,,,,1931,0
2132,-1,9,,,,,,,,,1931,0
2133,-1,9,,,,,,,,,1931,0
2134,-1,9,,,,,,,,,1931,0
2135,-1,9,,,,,,,,,1931,0
2136,-1,9,,,,,,,,,1931,0
2137,-1,9,,,,,,,,,1931,0
2138,-1,9,,,,,,,,,1931,0
2139,-1,9,,,,,,,,,1931,0
2140,-1,9,,,,,,,,,1931,0
2141,-1,9,,,,,,,,,1931,0
2142,-1,9,,,,,,,,,1931,0
2143,-1,9,,,,,,,,,1931,0
2144,-1,9,,,,,,,,,1931,0
2145,-1,9,,,,,,,,,1931,0
2146,-1,9,,,,,,,,,1931,0
2147,-1,9,,,,,,,,,1931,0
2148,-1,9,,,,,,,,,1931,0
2149,-1,9,,,,,,,,,1931,0
2150,-1,9,,,,,,,,,1931,0
2151,-1,9,,,,,,,,,1931,0
2152,-1,9,,,,,,,,,1931,0
2153,-1,9,,,,,,,,,1931,0
2154,-1,9,,,,,,,,,1931,0
2155,-1,,,,,,,,,,1931,0
2156,-1,9,,,,,,,,,1931,0
2157,-1,9,,,,,,,,,1931,0
2158,-1,9,,,,,,,,,1931,0
2159,-1,9,,,,,,,,,1931,0
2160,-1,9,,,,,,,,,1931,0
2161,-1,9,,,,,,,,,1931,0
2162,-1,9,,,,,,,,,1931,0
2163,-1,9,,,,,,,,,1931,0
2164,-1,cosmic,,,,,,,,,1931,0
2165,-1,cosmic,,,,,,,,,1931,0
2166,-1,cosmic,,,,,,,,,1931,0
2167,-1,cosmic,,,,,,,,,1931,0
2168,-1,9,,,,,,,,,1931,0
2169,-1,9,,,,,,,,,1931,0
2170,-1,9,,,,,,,,,1931,0
2171,-1,9,,,,,,,,,1931,0
2172,-1,9,,,,,,,,,1931,0
2173,-1,9,,,,,,,,,1931,0
2174,0,9,2174,2174,2174,,,,,306.07,2253,0
2175,1,9,2174,2174,2174,,,,,306.07,2253,0
2176,1,9,2174,2174,2174,,,,,306.07,2253,0
2177,-1,,2174,2174,2174,,,,,306.07,2253,0
2178,735,9,2174,2174,2174,,,,,306.07,2253,0
2179,7734,8,2174,2174,2174,,,,,306.07,2253,0
2180,-1,,2174,2174,2174,,,,,306.07,2253,0
2181,4819,8,2174,2174,2174,,,,,306.07,2253,0
2182,4886,8,2174,2174,2174,,,,,306.07,2253,0
2183,14887,8,2174,2174,2174,,,,,306.07,2253,0
2184,20763,8,2174,2174,2174,,,,,306.07,2253,0
2185,29822,8,2174,2174,2174,,,,,306.07,2253,0
2186,7339,8,2174,2174,2174,,,,,306.07,2253,0
2187,3826,,2174,2174,2174,,,,,306.07,2253,0
2188,-1,,2174,2174,2174,,,,,306.07,2253,0
2189,11308,8,2174,2174,2174,,,,,306.07,2253,0
2190,6035,,2174,2174,2174,,,,,306.07,2253,0
2191,14840,,2174,2174,2174,,,,,306.07,2253,0
2192,11439,,2174,2174,2174,,,,,306.07,2253,0
2193,8057,2,2174,2174,2174,,,,,306.07,2253,0
2194,12423,,2174,2174,2174,,,,,306.07,2253,0
2195,0,9,2174,2174,2174,,,,,306.07,2253,0
2196,0,9,2174,2174,2174,,,,,306.07,2253,0
2197,0,9,2174,2174,2174,,,,,306.07,2253,0
2198,0,9,2174,2174,2174,,,,,306.07,2253,0
2199,260,9,2174,2174,2174,,,,,306.07,2253,0
2200,66,9,2174,2174,2174,,,,,306.07,2253,0
2201,3486,3,2174,2174,2174,,,,,306.07,2253,0
2202,1105,3,2174,2174,2174,,,,,306.07,2253,0
2203,779,3,2174,2174,2174,,,,,306.07,2253,0
2204,0,3,2174,2174,2174,,,,,306.07,2253,0
2205,0,9,2174,2174,2174,,,,,306.07,2253,0
2206,4985,3,2174,2174,2174,,,,,306.07,2253,0
2207,252,7,2174,2174,2174,,,,,306.07,2253,0
2208,0,3,2174,2174,2174,,,,,306.07,2253,0
2209,0,,2174,2174,2174,,,,,306.07,2253,0
2210,10615,,2174,2174,2174,,,,,306.07,2253,0
2211,-1,,2174,2174,2174,,,,,306.07,2253,0
2212,-1,,2174,2174,2174,,,,,306.07,2253,0
2213,-1,,2174,2174,2174,,,,,306.07,2253,0
2214,-1,,2174,2174,2174,,,,,306.07,2253,0
2215,-1,,2174,2174,2174,,,,,306.07,2253,0
2216,-1,,2174,2174,2174,,,,,306.07,2253,0
2217,-1,,2174,2174,2174,,,,,306.07,2253,0
2218,-1,,2174,2174,2174,,,,,306.07,2253,0
2219,1647,9,2174,2174,2174,,,,,306.07,2253,0
2220,2010,9,2174,2174,2174,,,,,306.07,2253,0
2221,-1,,2174,2174,2174,,,,,306.07,2253,0
2222,0,7,2174,2174,2174,,,,,306.07,2253,0
2223,3085,7,2174,2174,2174,,,,,306.07,2253,0
2224,261,,2174,2174,2174,,,,,306.07,2253,0
2225,2095,1,2174,2174,2174,,,,,306.0733214,2253,0
2226,8502,9,2174,2174,2174,,,,,306.0622993,2253,0
2227,1543,7,2174,2174,2174,,,,,306.0660315,2253,0
2228,0,7,2174,2174,2174,,,,,306.1,2253,0
2229,1,7,2174,2174,2174,,,,,306.1,2253,0
2230,0,7,2174,2174,2174,,,,,306.1,2253,0
2231,1052,3,2174,2174,2174,,,,,306.115441,2253,0
2232,4114,3,2174,2174,2174,,,,,306.0604704,2253,0
2233,2113,3,2174,2174,2174,,,,,306.1799037,2253,0
2234,13730,3,2174,2174,2174,,,,,306.0754342,2253,0
2235,3573,1,2174,2174,2174,,,,,306.0799588,2253,0
2236,3142,1,2174,2174,2174,,,,,306.055426,2253,0
2237,2101,1,2174,2174,2174,,,,,306.0735825,2253,0
2238,18193,1,2174,2174,2174,,,,,306.0794948,2253,0
2239,0,7,2174,2174,2174,,,,,306.1,2253,0
2240,13635,1,2174,2174,2174,,,,,306.0671029,2253,0
2241,20986,1,2174,2174,2174,,,,,306.0706238,2253,0
2242,9650,1,2174,2174,2174,,,,,306.0658656,2253,0
2243,49150,1,2174,2174,2174,,,,,306.0744141,2253,0
2244,2950,2,2174,2174,2174,,,,,306.0687545,2253,0
2245,8123,1,2174,2174,2174,,,,,306.0697437,2253,0
2246,22150,1,2174,2174,2174,,,,,306.0676837,2253,0
2247,14994,1,2174,2174,2174,,,,,306.0731989,2253,0
