NAME,FPL,direction,layer,bar,qcal0,qped0,tdc0ns0,tdc25ns0,tdc0ns0_t17,tdc25ns0_t17,qcal1,qped1,tdc0ns1,tdc25ns1,tdc0ns1_t17,tdc25ns1_t17,tdiff_offset,sync_offset,vscint,ediff_offset,esync_offset,att,crate0,module0,channel0,sam0,gtb0,crate1,module1,channel1,sam1,gtb1,zpos
NeuLANDPla1V-23,13,V,1,23,1,44,1220,3280,1141,3281,1,13,1325,3312,1159,3283,4.95425,63.0769,8.24756,1.0011,0.0633351,661.15,1,9,0,6,0,3,1,2,5,0,11215
NeuLANDPla1V-24,13,V,1,24,1,34,1239,3285,1141,3281,1,12,1196,3280,1159,3283,6.34696,62.9368,8.18097,0.975527,0.0653788,719.777,1,9,15,6,0,3,1,1,5,0,11215
NeuLANDPla1V-25,13,V,1,25,1,16,1276,3287,1141,3281,1,5,1199,3290,1159,3283,5.45926,63.2547,8.21148,0.984159,0.0665543,583.319,1,9,14,6,0,3,1,0,5,0,11215
NeuLANDPla1V-26,13,V,1,26,1,6,1168,3267,1141,3281,1,11,1202,3280,1159,3283,5.12387,63.2733,8.27987,1.00363,0.0658408,608.175,1,9,13,6,0,3,1,15,5,0,11215
NeuLANDPla1V-27,13,V,1,27,1,3,1187,3273,1141,3281,1,5,1165,3280,1159,3283,6.59577,63.0514,8.19098,1.01273,0.0666756,608.494,1,9,12,6,0,3,1,14,5,0,11215
NeuLANDPla1V-28,13,V,1,28,1,49,1310,3271,1219,3277,1,16,1181,3276,1159,3283,-57.4957,31.3735,8.17866,1.01645,0.0658016,528.906,4,1,7,5,1,3,1,13,5,0,11215
NeuLANDPla1V-29,13,V,1,29,1,57,1332,3268,1219,3277,1,36,1118,3282,1159,3283,-58.6517,31.8522,8.11413,0.978372,0.0653694,569.071,4,1,6,5,1,3,1,12,5,0,11215
NeuLANDPla1V-30,13,V,1,30,1,39,1325,3282,1219,3277,1,21,1268,3274,1202,3284,-1.52287,2.58602,8.21657,0.951974,0.0663498,426.4,4,1,5,5,1,4,5,15,5,1,11215
NeuLANDPla1V-31,13,V,1,31,1,36,1267,3264,1219,3277,1,24,1220,3275,1202,3284,-1.08,2.09822,8.24423,1.00426,0.0656302,528.865,4,1,4,5,1,4,5,14,5,1,11215
NeuLANDPla1V-32,13,V,1,32,1,89,1265,3273,1219,3277,1,74,1275,3275,1202,3284,-2.05477,2.93942,8.17253,1.01098,0.0671682,526.957,4,1,3,5,1,4,5,13,5,1,11215
NeuLANDPla1V-33,13,V,1,33,1,75,1255,3266,1219,3277,1,34,1230,3275,1202,3284,-3.26456,2.04742,8.157,1.00393,0.065627,564.132,4,1,2,5,1,4,5,12,5,1,11215
NeuLANDPla1V-34,13,V,1,34,1,36,1256,3271,1219,3277,1,40,1259,3278,1202,3284,-2.70268,2.63152,8.13006,0.998734,0.0678435,514.146,4,1,1,5,1,4,5,11,5,1,11215
NeuLANDPla1V-35,13,V,1,35,1,42,1246,3266,1219,3277,1,34,1225,3277,1202,3284,-1.84142,2.17562,8.20993,1.00217,0.0644251,543.225,4,1,0,5,1,4,5,10,5,1,11215
NeuLANDPla1V-36,13,V,1,36,1,44,1302,3276,1219,3277,1,29,1263,3276,1202,3284,-2.14192,2.89262,8.17195,1.01472,0.0638226,576.739,4,1,15,5,1,4,5,9,5,1,11215
NeuLANDPla1V-37,13,V,1,37,1,84,1352,3265,1219,3277,1,51,1227,3279,1202,3284,-2.27906,2.52852,8.15998,0.990902,0.0648182,501.768,4,1,14,5,1,4,5,8,5,1,11215
NeuLANDPla1V-38,13,V,1,38,1,60,1295,3274,1219,3277,1,40,1165,3276,1196,3283,-1.41331,2.83352,8.1554,0.99754,0.0655569,538.414,4,1,13,5,1,4,6,7,5,1,11215
NeuLANDPla1V-39,13,V,1,39,1,30,1300,3257,1219,3277,1,40,1303,3270,1196,3283,-3.19117,2.97382,8.11444,1.01734,0.064457,543.737,4,1,12,5,1,4,6,6,5,1,11215
NeuLANDPla1V-40,13,V,1,40,1,61,1304,3273,1219,3277,1,34,1176,3278,1196,3283,-0.509246,2.86372,8.18658,1.00938,0.0658793,465.088,4,1,11,5,1,4,6,5,5,1,11215
NeuLANDPla1V-41,13,V,1,41,1,58,1352,3266,1219,3277,1,31,1273,3270,1196,3283,-0.984247,2.82312,8.16376,1.00156,0.0643642,499.059,4,1,10,5,1,4,6,4,5,1,11215
NeuLANDPla1V-42,13,V,1,42,1,57,1331,3269,1219,3277,1,34,1215,3284,1196,3283,-0.440971,2.09502,8.21326,0.980149,0.066059,520.334,4,1,9,5,1,4,6,3,5,1,11215
NeuLANDPla1V-43,13,V,1,43,1,74,1302,3271,1219,3277,1,68,1251,3266,1196,3283,-2.15088,2.91742,8.24514,1.01151,0.06444,496.204,4,1,8,5,1,4,6,2,5,1,11215
NeuLANDPla1V-44,13,V,1,44,1,35,1199,3267,1154,3276,1,57,1229,3288,1196,3283,-2.23142,2.71342,8.11012,1.01031,0.0666213,413.174,4,2,7,5,1,4,6,1,5,1,11215
NeuLANDPla1V-45,13,V,1,45,1,34,1186,3272,1154,3276,1,30,1224,3276,1196,3283,-1.363,2.87492,8.16189,0.98956,0.0646426,480.257,4,2,6,5,1,4,6,0,5,1,11215
NeuLANDPla1V-46,13,V,1,46,1,48,1148,3262,1154,3276,1,35,1251,3271,1196,3283,-0.675409,3.06652,8.04996,1.00024,0.0658875,438.174,4,2,5,5,1,4,6,15,5,1,11215
NeuLANDPla1V-47,13,V,1,47,1,45,1115,3265,1154,3276,1,31,1291,3279,1196,3283,-1.81115,2.63142,8.15935,0.976219,0.0653978,439.839,4,2,4,5,1,4,6,14,5,1,11215
NeuLANDPla1V-48,13,V,1,48,1,34,1168,3270,1154,3276,1,66,1254,3276,1196,3283,-2.12304,3.34472,8.11399,0.994957,0.0653886,545.55,4,2,3,5,1,4,6,13,5,1,11215
NeuLANDPla1V-49,13,V,1,49,1,25,1176,3281,1154,3276,1,69.65,1270,3273,1196,3283,-3.06801,3.35122,8.08698,0.995586,0.0655705,387.073,4,2,2,5,1,4,6,12,5,1,11215
NeuLANDPla2H-0,13,H,2,0,1,24,1173,3271,1173,3289,1,45,1200,3277,1121,3273,41.1033,40.6832,8.1343,0.993309,0.0605869,361.123,2,2,11,6,1,5,2,1,7,1,11265
NeuLANDPla2H-1,13,H,2,1,1,9,1233,3284,1173,3289,1,35,1186,3272,1121,3273,41.1285,40.9063,8.14263,1.00642,0.060093,553.73,2,2,10,6,1,5,2,0,7,1,11265
NeuLANDPla2H-2,13,H,2,2,1,8,1184,3271,1173,3289,1,31,1222,3269,1121,3273,40.1983,41.243,8.18643,1.00052,0.0617126,520.492,2,2,9,6,1,5,2,15,7,1,11265
NeuLANDPla2H-3,13,H,2,3,1,59,1271,3284,1173,3289,1,41,1288,3277,1121,3273,40.1956,41.2316,8.14093,0.97739,0.062511,468.356,2,2,8,6,1,5,2,14,7,1,11265
NeuLANDPla2H-4,13,H,2,4,1,27,1273,3275,1212,3288,1,35,1256,3269,1121,3273,41.0354,41.2254,8.16209,1.00064,0.0620706,422.427,2,3,7,6,1,5,2,13,7,1,11265
NeuLANDPla2H-5,13,H,2,5,1,52,1300,3268,1212,3288,1,34,1259,3264,1121,3273,40.3981,41.663,8.11562,1.00936,0.0616412,592.768,2,3,6,6,1,5,2,12,7,1,11265
NeuLANDPla2H-6,13,H,2,6,1,50,1287,3276,1212,3288,1,30,1255,3269,1121,3273,39.1893,40.77,8.10333,1.00705,0.0626628,566.824,2,3,5,6,1,5,2,11,7,1,11265
NeuLANDPla2H-7,13,H,2,7,1,64,1300,3275,1212,3288,1,48,1226,3266,1121,3273,39.8384,40.519,8.14512,0.997252,0.0623549,474.68,2,3,4,6,1,5,2,10,7,1,11265
NeuLANDPla2H-8,13,H,2,8,1,3,1288,3276,1212,3288,1,29,1231,3261,1121,3273,40.2106,41.014,8.15522,1.0042,0.0614447,488.204,2,3,3,6,1,5,2,9,7,1,11265
NeuLANDPla2H-9,13,H,2,9,1,5.473,1294,3270,1212,3288,1,60,1286,3281,1121,3273,40.8721,41.3071,8.15701,1.00146,0.0638606,573.526,2,3,2,6,1,5,2,8,7,1,11265
NeuLANDPla2H-10,13,H,2,10,1,59,1257,3279,1212,3288,1,51,1189,3271,1157,3277,41.4073,39.5218,8.20271,1.00471,0.0616555,597.18,2,3,1,6,1,5,3,7,7,1,11265
NeuLANDPla2H-11,13,H,2,11,1,52,1299,3269,1212,3288,1,25,1208,3273,1157,3277,40.7896,39.8627,8.17221,0.997073,0.0627504,474.744,2,3,0,6,1,5,3,6,7,1,11265
NeuLANDPla2H-12,13,H,2,12,1,6,1227,3282,1212,3288,1,28,1182,3273,1157,3277,40.5472,40.2077,8.14077,1.00127,0.0631384,592.182,2,3,15,6,1,5,3,5,7,1,11265
NeuLANDPla2H-13,13,H,2,13,1,40,1257,3274,1212,3288,1,33,1198,3273,1157,3277,40.0231,40.0874,8.15293,1.00218,0.0625907,611.134,2,3,14,6,1,5,3,4,7,1,11265
NeuLANDPla2H-14,13,H,2,14,1,8,1227,3280,1212,3288,1,24,1249,3279,1157,3277,41.158,40.156,8.13183,1.02752,0.0619168,481.831,2,3,13,6,1,5,3,3,7,1,11265
NeuLANDPla2H-15,13,H,2,15,1,4,1267,3270,1212,3288,1,51,1283,3278,1157,3277,40.9595,40.3222,8.12774,1.00679,0.062273,661.174,2,3,12,6,1,5,3,2,7,1,11265
NeuLANDPla2H-16,13,H,2,16,1,9,1255,3279,1212,3288,1,39,1242,3280,1157,3277,41.3399,40.1586,8.12488,0.997638,0.0622775,574.15,2,3,11,6,1,5,3,1,7,1,11265
NeuLANDPla2H-17,13,H,2,17,1,14,1268,3268,1212,3288,1,49,1238,3273,1157,3277,42.0187,39.9576,8.18065,1.00551,0.0626485,609.859,2,3,10,6,1,5,3,0,7,1,11265
NeuLANDPla2H-18,13,H,2,18,1,10,1250,3277,1212,3288,1,84,1279,3272,1157,3277,41.2897,40.6776,8.165,1.00097,0.0615118,507.32,2,3,9,6,1,5,3,15,7,1,11265
NeuLANDPla2H-19,13,H,2,19,1,12.92,1303,3273,1212,3288,1,28,1322,3277,1157,3277,42.5851,40.0587,8.15204,0.997431,0.0616299,554.572,2,3,8,6,1,5,3,14,7,1,11265
